id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.006,0,0,0.024,0,0.002,0,0.002,0,0,0.004,0,0.002,0,0,0,0.008,0,0,0,0.002,0.002,0.002,0.002,0,0,0.002,0,0.002,0,0,0.02,0.006,0.004,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.082,0,0,0.014,0.006,0.1,0,0.01,0.008,0.034,0.05,0,0,0,0,0,0,0,0.012,0.008,0,0,0,0.006,0,0,0.004,0,0.01,0.034,0,0.006,0.016,0.008,0,0,0,0.024,0.04,0,0,0,0.014,0,0.004,0,0.002,0.002,0.012,0,0,0,0
7,0.002,0,0.036,0.032,0.004,0.006,0.012,0.002,0,0,0,0,0,0,0,0,0.002,0.002,0,0.03,0.004,0,0.002,0,0,0,0,0,0.004,0.002,0,0,0,0,0.018,0,0.098,0.004,0.01,0.02,0.02,0.012,0,0.004,0.002,0,0,0.01,0.002,0.002,0.408,0,0,0.004,0.008,0,0,0.016,0.008,0.012,0.002,0,0,0.004,0,0.008,0,0,0.008,0.092,0,0.002,0,0.004,0,0,0.016,0,0,0.012,0.004,0.002,0.018,0,0.008,0.002,0.004,0.024,0,0,0.016,0,0,0,0.006,0,0.022,0,0.012
9,0,0.428,0,0.008,0.012,0.002,0,0.008,0.026,0,0.002,0.01,0.004,0.006,0.004,0.008,0.07,0.004,0.002,0.002,0.004,0,0.002,0,0,0.012,0.014,0,0.004,0.002,0,0.008,0.044,0.01,0,0.002,0,0,0,0,0,0.004,0,0.002,0.014,0.002,0,0,0.014,0,0.022,0,0,0.006,0.012,0.014,0,0,0,0,0.004,0.002,0.012,0,0,0.002,0.02,0,0,0.006,0,0,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0.008,0.004,0,0,0,0,0,0.004,0,0,0.002,0.006,0,0,0.036
12,0,0.038,0.01,0.016,0,0,0,0.014,0.028,0.01,0,0.044,0.072,0.038,0.01,0.004,0.002,0.044,0,0.178,0.004,0,0.022,0,0.004,0,0.002,0,0,0,0.004,0,0.004,0,0,0,0.01,0.006,0.004,0,0.006,0.016,0,0.008,0.004,0.018,0,0.074,0.028,0,0.016,0,0.002,0,0.004,0,0,0.002,0.004,0.02,0,0,0.002,0.016,0,0,0,0.024,0,0.008,0,0.008,0,0.024,0,0,0,0.008,0.002,0.008,0.004,0.006,0.006,0,0.002,0.002,0.006,0.004,0,0.004,0.004,0.004,0,0.002,0.032,0.034,0.008,0,0.018
13,0.004,0.008,0,0,0,0,0,0,0.08,0.002,0,0.1,0.088,0.01,0.374,0.002,0.012,0,0.008,0,0.002,0,0.012,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.032,0.016,0,0,0.004,0.004,0,0.002,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.012,0.004,0.002,0,0,0.002,0,0,0,0,0.002,0,0.004,0,0,0.004,0.006,0,0.016,0.006
16,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.042,0.004,0.006,0,0,0,0.002,0,0,0.002,0,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.01,0,0,0,0.006,0,0.002,0,0,0,0.004,0,0.002,0,0,0,0,0.018,0,0,0,0,0,0.004,0,0.004,0,0.014,0,0.006
19,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.002,0,0,0,0,0.002,0,0,0.004,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.004,0.002,0,0,0,0,0.03,0,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0.016,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.004,0,0,0,0.002,0,0,0,0.002,0,0.01,0,0.012
23,0,0.004,0,0.012,0,0.02,0,0,0,0,0,0,0.002,0,0,0.052,0,0,0.004,0,0.01,0,0,0.016,0,0.004,0,0.004,0.152,0.046,0,0.002,0.004,0,0.002,0,0.002,0.012,0.002,0,0,0,0.01,0.012,0,0,0,0,0,0,0,0,0,0,0.002,0.016,0,0,0,0.002,0,0.016,0.004,0.002,0,0,0.004,0.004,0.002,0.038,0,0.004,0.006,0.008,0,0,0.002,0,0,0.038,0,0,0,0,0.018,0,0,0,0,0,0.002,0,0,0,0,0,0.008,0,0
24,0.012,0.002,0.002,0.002,0.002,0.016,0,0.008,0,0,0.004,0,0.002,0,0.002,0,0.01,0.004,0,0,0.03,0.022,0,0,0,0,0.014,0.006,0.002,0,0,0.02,0.02,0.008,0.014,0,0.026,0.008,0.002,0.056,0.018,0.012,0.006,0.002,0.008,0.002,0,0,0,0,0.008,0,0,0,0.006,0.004,0,0.004,0.004,0.012,0,0,0,0,0,0.002,0.002,0,0.008,0.004,0,0.002,0.01,0,0,0,0,0.028,0.004,0,0.002,0,0.006,0.016,0.502,0,0,0.002,0,0,0,0,0,0,0.004,0.006,0,0,0
28,0.004,0.01,0.002,0,0,0.002,0,0.008,0.532,0,0,0.004,0.014,0.008,0.01,0.008,0.002,0,0,0,0.004,0,0,0,0,0,0,0,0,0.004,0,0,0.002,0,0,0,0,0,0,0,0.002,0.014,0,0,0.004,0.002,0,0,0.014,0.002,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.002,0,0.004,0,0,0,0,0,0.002,0.002,0,0,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0.024,0.012,0,0,0.002
33,0.004,0,0,0.02,0,0.002,0,0,0,0,0,0,0,0,0,0.002,0,0,0.03,0,0.002,0,0,0.004,0.006,0.006,0,0.008,0.004,0.002,0.006,0,0,0,0.004,0,0.002,0,0,0,0,0.004,0,0.138,0,0.002,0,0,0,0.01,0,0,0.006,0,0,0,0,0,0,0,0.046,0,0.01,0.002,0,0,0.004,0.002,0,0.016,0,0.002,0,0.008,0,0,0,0,0,0.018,0,0.006,0,0,0,0,0.024,0,0,0,0,0.002,0.01,0,0.004,0.012,0.028,0.004,0.002
36,0.026,0.004,0,0,0.014,0.002,0,0,0.002,0.01,0.004,0.03,0.004,0.066,0.018,0,0.032,0.002,0.004,0,0.03,0.01,0,0.002,0,0.002,0.028,0,0,0,0,0.002,0.002,0.002,0,0.024,0,0,0.002,0.002,0,0.004,0,0,0.002,0,0.038,0,0.004,0.002,0,0.076,0.002,0.016,0.032,0.01,0.046,0,0,0,0,0,0,0,0.294,0.03,0,0,0.002,0,0.012,0,0.004,0,0.926,0.048,0,0,0.02,0,0.038,0,0,0.014,0.004,0.002,0,0,0.134,0,0,0.026,0.006,0.054,0,0,0,0,0.028
